Date,"Monthly active users (MAU) (Unique users, Per interval, Daily): All countries / regions","Monthly active users (MAU) (Unique users, Per interval, Daily): Egypt","Monthly active users (MAU) (Unique users, Per interval, Daily): Côte d’Ivoire","Monthly active users (MAU) (Unique users, Per interval, Daily): Senegal","Monthly active users (MAU) (Unique users, Per interval, Daily): United Kingdom","Monthly active users (MAU) (Unique users, Per interval, Daily): United States",Notes
8 Feb 2025,"22,151","5,588","3,150","1,821",-,-,
9 Feb 2025,"22,224","5,605","3,098","1,869",-,-,
10 Feb 2025,"22,048","5,647","2,934","1,821",-,-,
11 Feb 2025,"22,216","5,547","3,023","1,862",-,-,
12 Feb 2025,"22,093","5,431","3,067","1,800",-,-,
13 Feb 2025,"22,353","5,455","3,069","1,819",-,-,
14 Feb 2025,"22,761","5,402","3,061","1,965",-,-,
15 Feb 2025,"23,027","5,495","3,019","2,033",-,-,
16 Feb 2025,"23,326","5,399","3,155","1,991",-,-,
17 Feb 2025,"23,458","5,301","3,310","2,040",-,-,
18 Feb 2025,"23,718","5,249","3,322","2,074",-,-,
19 Feb 2025,"23,593","5,260","3,284","2,034",-,-,
20 Feb 2025,"23,556","5,221","3,276","2,001",-,-,
21 Feb 2025,"23,441","5,267","3,339","2,028",-,-,
22 Feb 2025,"23,299","5,209","3,281","1,876",-,-,
23 Feb 2025,"23,228","5,122","3,276","1,772",-,-,
24 Feb 2025,"23,004","5,090","3,182","1,753",-,-,
25 Feb 2025,"23,090","5,055","3,241","1,782",-,-,
26 Feb 2025,"22,964","5,027","3,198","1,880",-,-,
27 Feb 2025,"22,970","4,895","3,243","1,711",-,-,
28 Feb 2025,"22,853","4,986","3,266","1,773",-,-,
1 Mar 2025,"22,685","4,890","3,238","1,882",-,-,
2 Mar 2025,"22,701","4,934","3,197","1,731",-,-,
3 Mar 2025,"22,533","4,887","3,150","1,738",-,-,
4 Mar 2025,"22,503","4,781","3,174","1,676",-,-,
5 Mar 2025,"22,281","4,660","3,176","1,718",-,-,
6 Mar 2025,"22,079","4,675","3,094","1,668",-,-,
7 Mar 2025,"22,050","4,774","3,096","1,650",-,-,
8 Mar 2025,"21,804","4,728","3,087","1,577",-,-,
9 Mar 2025,"21,911","4,698","3,014","1,544",-,-,
10 Mar 2025,"21,644","4,691","3,168","1,553",-,-,
11 Mar 2025,"21,563","4,559","3,018","1,507",-,-,
12 Mar 2025,"21,527","4,642","3,008","1,509",-,-,
13 Mar 2025,"21,278","4,568","2,982","1,546",-,-,
14 Mar 2025,"21,141","4,674","2,908","1,435",-,-,
15 Mar 2025,"20,871","4,611","2,895","1,441",-,-,
16 Mar 2025,"20,606","4,452","2,646","1,373",-,-,
17 Mar 2025,"20,218","4,492","2,718","1,384",-,-,
18 Mar 2025,"20,099","4,420","2,647","1,345",-,-,
19 Mar 2025,"19,970","4,495","2,701","1,372",-,-,
20 Mar 2025,"19,868","4,498","2,618","1,288",-,-,
21 Mar 2025,"19,796","4,509","2,582","1,391",-,-,
22 Mar 2025,"19,693","4,524","2,598","1,298",-,-,
23 Mar 2025,"19,763","4,477","2,512","1,326",-,-,
24 Mar 2025,"19,650","4,478","2,492","1,332",-,-,
25 Mar 2025,"19,703","4,551","2,457","1,156",-,-,
26 Mar 2025,"19,755","4,473","2,492","1,264",-,-,
27 Mar 2025,"20,008","4,655","2,529","1,155",-,-,
28 Mar 2025,"19,811","4,489","2,547","1,267",-,-,
29 Mar 2025,"19,881","4,579","2,501","1,325",-,-,
30 Mar 2025,"19,681","4,599","2,474","1,135",-,-,
31 Mar 2025,"19,708","4,362","2,469","1,171",-,-,
1 Apr 2025,"19,787","4,430","2,447","1,278",-,-,
2 Apr 2025,"19,895","4,550","2,487","1,170",-,-,
3 Apr 2025,"19,904","4,523","2,283","1,212",-,-,
4 Apr 2025,"19,923","4,598","2,407","1,362",-,-,
5 Apr 2025,"20,064","4,549","2,249","1,289",-,-,
6 Apr 2025,"20,052","4,530","2,308","1,244",-,-,
7 Apr 2025,"20,130","4,653","2,397","1,201",-,-,
8 Apr 2025,"20,162","4,558","2,434","1,280",-,-,
9 Apr 2025,"20,201","4,702","2,315","1,372",-,-,
10 Apr 2025,"20,160","4,713","2,323","1,111",-,-,
11 Apr 2025,"20,043","4,541","2,397","1,118",-,-,
12 Apr 2025,"20,085","4,581","2,385","1,256",-,-,
13 Apr 2025,"20,049","4,562","2,390","1,210",-,-,
14 Apr 2025,"20,068","4,571","2,413","1,188",-,-,
15 Apr 2025,"20,069","4,651","2,287","1,249",-,-,
16 Apr 2025,"20,114","4,682","2,272","1,279",-,-,
17 Apr 2025,"20,212","4,583","2,366","1,285",-,-,
18 Apr 2025,"20,320","4,551","2,278","1,197",-,-,
19 Apr 2025,"20,270","4,607","2,338","1,212",-,-,
20 Apr 2025,"20,194","4,448","2,329","1,373",-,-,
21 Apr 2025,"20,161","4,513","2,358","1,140",-,-,Change in reporting data: Improved our engagement metrics to more accurately compensate for users who have opted out of data sharing.
22 Apr 2025,"19,195","4,396","2,188","1,166",107,556,
23 Apr 2025,"19,022","4,378","2,181","1,143",108,558,
24 Apr 2025,"18,936","4,347","2,169","1,128",110,560,
25 Apr 2025,"18,850","4,329","2,153","1,118",110,563,
26 Apr 2025,"18,723","4,293","2,132","1,097",107,562,
27 Apr 2025,"18,687","4,286","2,120","1,078",103,559,
28 Apr 2025,"18,628","4,274","2,115","1,070",103,556,
29 Apr 2025,"18,586","4,266","2,118","1,057",102,557,
30 Apr 2025,"18,528","4,261","2,127","1,052",102,549,
1 May 2025,"18,500","4,255","2,138","1,029",101,554,
2 May 2025,"18,411","4,260","2,122","1,002",98,554,
3 May 2025,"19,245","4,218","2,414","1,064",105,549,
4 May 2025,"19,823","4,236","2,619","1,131",109,565,
5 May 2025,"20,260","4,205","2,776","1,169",106,555,
6 May 2025,"20,522","4,193","2,893","1,170",108,556,
7 May 2025,"20,769","4,216","2,955","1,161",109,560,
8 May 2025,"21,042","4,243","3,041","1,177",107,577,
9 May 2025,"21,234","4,231","3,115","1,191",110,587,
10 May 2025,"21,514","4,235","3,189","1,222",114,587,
11 May 2025,"21,898","4,235","3,271","1,262",111,596,
12 May 2025,"22,274","4,244","3,342","1,294",113,611,
13 May 2025,"22,487","4,247","3,425","1,319",112,616,
14 May 2025,"22,641","4,247","3,488","1,338",116,629,Change in reporting data: Updated engagement metrics to include more user accounts.
15 May 2025,"22,730","4,215","3,554","1,342",113,628,
16 May 2025,"22,794","4,203","3,597","1,352",111,638,
17 May 2025,"22,869","4,189","3,605","1,369",111,647,
18 May 2025,"22,967","4,199","3,636","1,387",113,638,
19 May 2025,"23,115","4,239","3,675","1,401",117,645,
20 May 2025,"23,255","4,260","3,700","1,417",121,651,
21 May 2025,"23,322","4,247","3,746","1,433",117,649,
22 May 2025,"23,432","4,247","3,814","1,439",120,647,
23 May 2025,"23,547","4,244","3,870","1,445",120,653,
24 May 2025,"23,679","4,229","3,944","1,479",121,656,
25 May 2025,"23,825","4,225","3,998","1,497",119,674,
26 May 2025,"24,001","4,239","4,042","1,525",118,679,
27 May 2025,"24,095","4,220","4,089","1,540",123,685,
28 May 2025,"24,143","4,205","4,127","1,550",123,686,
29 May 2025,"24,204","4,202","4,162","1,564",122,686,
30 May 2025,"24,275","4,152","4,221","1,580",127,693,
31 May 2025,"24,040","4,116","4,178","1,555",130,687,
1 Jun 2025,"23,779","4,088","4,115","1,522",128,671,
2 Jun 2025,"23,623","4,061","4,068","1,520",134,681,
3 Jun 2025,"23,496","4,042","4,051","1,499",129,674,
4 Jun 2025,"23,392","4,037","4,039","1,489",125,673,
5 Jun 2025,"23,294","4,000","4,008","1,495",129,665,
6 Jun 2025,"23,069","3,982","3,957","1,479",124,651,
7 Jun 2025,"22,817","3,957","3,921","1,443",122,644,
8 Jun 2025,"22,547","3,943","3,867","1,417",121,628,
9 Jun 2025,"22,320","3,937","3,817","1,377",121,616,
10 Jun 2025,"22,053","3,920","3,780","1,337",121,600,
11 Jun 2025,"21,852","3,901","3,753","1,314",120,597,
12 Jun 2025,"21,723","3,886","3,719","1,290",116,598,
13 Jun 2025,"21,573","3,857","3,699","1,265",118,600,
14 Jun 2025,"21,515","3,817","3,698","1,260",116,584,
15 Jun 2025,"21,461","3,819","3,697","1,272",116,583,
16 Jun 2025,"21,404","3,824","3,659","1,275",115,575,
17 Jun 2025,"21,288","3,776","3,650","1,276",112,561,
18 Jun 2025,"21,204","3,747","3,651","1,265",110,554,
19 Jun 2025,"21,117","3,722","3,612","1,249",108,558,
20 Jun 2025,"20,904","3,686","3,593","1,231",104,560,
21 Jun 2025,"20,756","3,671","3,565","1,213",106,550,
22 Jun 2025,"20,538","3,651","3,517","1,189",105,537,
23 Jun 2025,"20,391","3,642","3,486","1,159",108,539,
24 Jun 2025,"20,182","3,629","3,429","1,147",105,528,
25 Jun 2025,"19,989","3,602","3,407","1,135",102,519,
26 Jun 2025,"19,821","3,586","3,376","1,125",99,506,
27 Jun 2025,"19,568","3,559","3,318","1,105",99,501,
28 Jun 2025,"19,365","3,559","3,282","1,087",93,495,
29 Jun 2025,"19,130","3,539","3,230","1,055",93,485,
30 Jun 2025,"18,897","3,514","3,164","1,028",90,476,
1 Jul 2025,"18,751","3,505","3,150","1,008",88,479,
2 Jul 2025,"18,569","3,488","3,132","1,003",88,471,
3 Jul 2025,"18,398","3,467","3,094",975,87,471,
4 Jul 2025,"18,282","3,452","3,068",967,90,478,
5 Jul 2025,"18,082","3,454","3,039",944,88,475,
6 Jul 2025,"17,908","3,425","2,989",935,92,472,
7 Jul 2025,"17,716","3,396","2,936",925,99,471,
8 Jul 2025,"17,536","3,374","2,903",918,99,475,
9 Jul 2025,"17,391","3,360","2,865",914,101,477,
10 Jul 2025,"17,169","3,316","2,817",896,102,475,
11 Jul 2025,"17,043","3,288","2,785",890,112,464,
12 Jul 2025,"16,926","3,269","2,756",871,113,474,
13 Jul 2025,"16,747","3,249","2,719",867,112,468,
14 Jul 2025,"16,524","3,247","2,689",853,112,454,
15 Jul 2025,"16,425","3,232","2,663",836,112,458,
16 Jul 2025,"16,309","3,209","2,638",821,115,458,
17 Jul 2025,"16,122","3,193","2,603",802,113,442,
18 Jul 2025,"15,990","3,190","2,568",780,113,438,
19 Jul 2025,"15,857","3,194","2,532",771,115,432,
20 Jul 2025,"15,720","3,189","2,487",760,122,436,
21 Jul 2025,"15,602","3,180","2,452",741,123,432,
22 Jul 2025,"15,491","3,163","2,418",732,121,427,
23 Jul 2025,"15,367","3,154","2,373",727,119,431,
24 Jul 2025,"15,289","3,127","2,365",713,120,428,
25 Jul 2025,"15,196","3,101","2,344",712,122,428,
26 Jul 2025,"15,107","3,084","2,320",701,125,425,
27 Jul 2025,"15,031","3,065","2,329",699,129,419,
28 Jul 2025,"15,000","3,051","2,327",696,135,413,
29 Jul 2025,"14,901","3,018","2,311",695,139,407,
30 Jul 2025,"14,857","2,995","2,314",693,142,399,
31 Jul 2025,"14,766","2,980","2,295",688,147,404,
1 Aug 2025,"14,701","2,972","2,269",690,146,396,
2 Aug 2025,"14,587","2,937","2,250",693,142,392,
3 Aug 2025,"14,603","2,932","2,224",697,135,388,
4 Aug 2025,"14,555","2,916","2,222",700,130,386,
5 Aug 2025,"14,475","2,870","2,230",702,133,378,
6 Aug 2025,"14,493","2,869","2,214",722,136,382,
7 Aug 2025,"14,492","2,850","2,224",740,133,377,
8 Aug 2025,"14,530","2,847","2,225",739,131,383,
9 Aug 2025,"14,517","2,828","2,220",744,131,379,
10 Aug 2025,"14,490","2,817","2,218",749,129,371,
11 Aug 2025,"14,507","2,805","2,227",757,129,369,
12 Aug 2025,"14,568","2,797","2,234",768,128,375,
13 Aug 2025,"14,573","2,782","2,252",763,127,374,
14 Aug 2025,"14,573","2,764","2,246",771,124,374,
15 Aug 2025,"14,556","2,725","2,268",781,130,378,
16 Aug 2025,"14,537","2,715","2,248",782,132,379,
17 Aug 2025,"14,494","2,684","2,267",790,128,369,
18 Aug 2025,"14,508","2,675","2,260",802,127,366,
19 Aug 2025,"14,552","2,683","2,266",827,133,369,
20 Aug 2025,"14,535","2,685","2,271",839,135,362,
21 Aug 2025,"14,564","2,653","2,279",861,139,360,
22 Aug 2025,"14,541","2,644","2,284",881,141,366,
23 Aug 2025,"14,557","2,624","2,323",890,139,368,
24 Aug 2025,"14,603","2,635","2,344",902,133,372,
25 Aug 2025,"14,640","2,626","2,355",917,129,373,
26 Aug 2025,"14,702","2,629","2,344",922,133,368,
27 Aug 2025,"14,735","2,636","2,345",921,131,378,
28 Aug 2025,"14,723","2,631","2,365",916,129,378,
29 Aug 2025,"14,706","2,633","2,360",908,129,379,
30 Aug 2025,"14,708","2,627","2,356",915,127,382,
31 Aug 2025,"14,670","2,617","2,364",906,131,384,
1 Sept 2025,"14,673","2,605","2,368",911,126,388,
2 Sept 2025,"14,739","2,604","2,376",910,130,386,
3 Sept 2025,"14,794","2,622","2,387",905,132,391,
4 Sept 2025,"14,776","2,603","2,382",894,129,384,
5 Sept 2025,"14,719","2,590","2,355",899,133,372,
6 Sept 2025,"14,658","2,587","2,344",898,133,370,
7 Sept 2025,"14,701","2,586","2,344",902,131,380,
8 Sept 2025,"14,642","2,592","2,333",901,132,381,
9 Sept 2025,"14,646","2,590","2,325",895,129,377,
10 Sept 2025,"14,627","2,593","2,318",896,130,378,
11 Sept 2025,"14,637","2,594","2,293",893,135,382,
12 Sept 2025,"14,666","2,617","2,290",885,133,384,
13 Sept 2025,"14,655","2,630","2,284",885,137,375,
14 Sept 2025,"14,683","2,634","2,275",880,139,367,
15 Sept 2025,"14,654","2,627","2,272",881,134,366,
16 Sept 2025,"14,631","2,632","2,269",875,136,361,
17 Sept 2025,"14,638","2,619","2,255",879,136,360,
18 Sept 2025,"14,615","2,614","2,235",873,132,365,
19 Sept 2025,"14,671","2,617","2,245",881,129,360,
20 Sept 2025,"14,668","2,622","2,222",860,129,363,
21 Sept 2025,"14,664","2,624","2,199",850,131,360,
22 Sept 2025,"14,622","2,605","2,178",845,132,373,
23 Sept 2025,"14,574","2,614","2,160",834,132,378,
24 Sept 2025,"14,548","2,616","2,151",829,133,373,
25 Sept 2025,"14,507","2,615","2,134",835,136,371,
26 Sept 2025,"14,545","2,611","2,123",839,137,370,
27 Sept 2025,"14,539","2,592","2,124",839,143,371,
28 Sept 2025,"14,520","2,590","2,117",832,140,367,
29 Sept 2025,"14,443","2,584","2,085",823,144,348,
30 Sept 2025,"14,392","2,587","2,087",808,142,357,
1 Oct 2025,"14,380","2,609","2,052",805,143,365,
