Date,"Google Play rating (Per interval, Daily): All countries / regions","Google Play rating (Per interval, Daily): Egypt","Google Play rating (Per interval, Daily): Mauritania","Google Play rating (Per interval, Daily): Côte d’Ivoire","Google Play rating (Per interval, Daily): Algeria",Notes
10 Mar 2025,3.93,4.05,3.95,3.95,3.33,
11 Mar 2025,3.93,4.05,3.95,3.95,3.33,
12 Mar 2025,3.93,4.05,3.95,3.95,3.33,
13 Mar 2025,3.94,4.01,3.9,3.9,3.33,
14 Mar 2025,3.9,4.01,3.86,3.86,3.33,
15 Mar 2025,3.9,4,3.86,3.86,3.33,
16 Mar 2025,3.91,4,3.93,3.93,3.33,
17 Mar 2025,3.91,4,3.93,3.93,3.33,
18 Mar 2025,3.97,4,3.93,3.93,3.33,
19 Mar 2025,3.97,4,3.93,3.93,3.33,
20 Mar 2025,3.96,4,3.94,3.94,3.41,
21 Mar 2025,3.97,4,4,4,3.41,
22 Mar 2025,3.97,4,4,4,3.41,
23 Mar 2025,4.01,4,3.99,3.99,3.41,
24 Mar 2025,4.01,4,3.99,3.99,3.41,
25 Mar 2025,4.06,4,4.01,4.01,3.48,
26 Mar 2025,4.06,4,4.05,4.05,3.48,
27 Mar 2025,4.06,4,4.05,4.05,3.48,
28 Mar 2025,4.01,4,4.05,4.05,3.44,
29 Mar 2025,4.03,4,4.04,4.04,3.44,
30 Mar 2025,4.04,4,4.05,4.05,3.44,
31 Mar 2025,4.03,4,4.07,4.07,3.44,
1 Apr 2025,4.03,4,4.07,4.07,3.38,
2 Apr 2025,4.01,4,4.05,4.05,3.38,
3 Apr 2025,4.03,4.01,4.04,4.04,3.38,
4 Apr 2025,3.99,4.01,4,4,3.38,
5 Apr 2025,4,4.01,4.01,4.01,3.38,
6 Apr 2025,4.02,4.01,4.03,4.03,3.38,
7 Apr 2025,3.99,4.01,4.02,4.02,3.38,
8 Apr 2025,3.99,4.01,4.03,4.03,3.38,
9 Apr 2025,3.99,4.01,4.03,4.03,3.38,
10 Apr 2025,3.99,4.01,4.03,4.03,3.38,
11 Apr 2025,4.03,4.01,4.04,4.04,3.38,
12 Apr 2025,3.99,4.01,3.99,3.99,3.38,
13 Apr 2025,3.99,4.01,3.99,3.99,3.44,
14 Apr 2025,3.99,4,3.98,3.98,3.44,
15 Apr 2025,3.95,4,3.96,3.96,3.44,
16 Apr 2025,3.95,4,3.96,3.96,3.44,
17 Apr 2025,3.92,4,3.93,3.93,3.35,
18 Apr 2025,3.92,4,3.93,3.93,3.35,
19 Apr 2025,3.92,4,3.93,3.93,3.35,
20 Apr 2025,3.92,4,3.93,3.93,3.35,
21 Apr 2025,3.94,4,3.93,3.93,3.35,
22 Apr 2025,3.94,4,3.93,3.93,3.35,
23 Apr 2025,3.94,4,3.93,3.93,3.35,
24 Apr 2025,3.9,4,3.91,3.91,3.35,
25 Apr 2025,3.9,4,3.91,3.91,3.35,
26 Apr 2025,3.91,4,3.91,3.91,3.35,
27 Apr 2025,3.86,4,3.87,3.87,3.35,
28 Apr 2025,3.9,4,3.88,3.88,3.35,
29 Apr 2025,3.91,4,3.87,3.87,3.35,
30 Apr 2025,3.91,4,3.87,3.87,3.35,
1 May 2025,3.91,4,3.87,3.87,3.35,
2 May 2025,3.91,4,3.87,3.87,3.35,
3 May 2025,3.92,4,3.91,3.91,3.35,
4 May 2025,3.94,4,3.93,3.93,3.35,
5 May 2025,3.95,4,3.95,3.95,3.35,
6 May 2025,3.91,4,3.92,3.92,3.35,
7 May 2025,3.92,4,3.92,3.92,3.35,
8 May 2025,3.88,4,3.89,3.89,3.35,
9 May 2025,3.91,4,3.86,3.86,3.35,
10 May 2025,3.92,4,3.89,3.89,3.35,
11 May 2025,3.89,4,3.88,3.88,3.35,
12 May 2025,3.96,4,3.93,3.93,3.35,
13 May 2025,3.96,4,3.93,3.93,3.35,
14 May 2025,3.98,4,3.97,3.97,3.35,
15 May 2025,3.98,4,3.97,3.97,3.35,
16 May 2025,3.98,4,3.97,3.97,3.35,
17 May 2025,3.99,4,3.98,3.98,3.35,
18 May 2025,3.98,4,3.99,3.99,3.35,
19 May 2025,3.98,4,3.99,3.99,3.35,
20 May 2025,3.98,4,3.99,3.99,3.35,
21 May 2025,4.05,4,4.06,4.06,3.41,
22 May 2025,4.05,4,4.06,4.06,3.41,
23 May 2025,4.06,4,4.06,4.06,3.41,
24 May 2025,4.01,4,4.03,4.03,3.41,
25 May 2025,4.01,4,3.98,3.98,3.32,
26 May 2025,4.01,4,3.98,3.98,3.32,
27 May 2025,4.04,4,4.02,4.02,3.32,
28 May 2025,4.04,4,4.02,4.02,3.32,
29 May 2025,4.04,4,4.02,4.02,3.32,
30 May 2025,4.04,4,4.02,4.02,3.32,
31 May 2025,3.95,4,3.96,3.96,3.32,
1 Jun 2025,3.91,4,3.92,3.92,3.32,
2 Jun 2025,3.93,4,3.91,3.91,3.32,
3 Jun 2025,3.95,4,3.93,3.93,3.32,
4 Jun 2025,3.96,4,3.96,3.96,3.32,
5 Jun 2025,3.97,4,3.97,3.97,3.32,
6 Jun 2025,3.97,4,3.97,3.97,3.32,
7 Jun 2025,3.98,4,3.98,3.98,3.32,
8 Jun 2025,3.98,4,3.98,3.98,3.32,
9 Jun 2025,3.98,4,3.98,3.98,3.32,
10 Jun 2025,3.98,4,3.98,3.98,3.32,
11 Jun 2025,3.98,4,3.98,3.98,3.32,
12 Jun 2025,3.98,4,3.98,3.98,3.32,
13 Jun 2025,3.96,4,3.96,3.96,3.32,
14 Jun 2025,3.96,4,3.96,3.96,3.32,
15 Jun 2025,4.01,4,3.98,3.98,3.32,
16 Jun 2025,4.01,4,3.98,3.98,3.32,
17 Jun 2025,4.01,4,3.98,3.98,3.32,
18 Jun 2025,4.03,4,4.03,4.03,3.32,
19 Jun 2025,4.03,4,4.03,4.03,3.32,
20 Jun 2025,4.04,4,4.04,4.04,3.32,
21 Jun 2025,4.04,4,4.04,4.04,3.32,
22 Jun 2025,4.04,4,4.04,4.04,3.32,
23 Jun 2025,4.04,4,4.04,4.04,3.32,
24 Jun 2025,4.05,4,4.05,4.05,3.32,
25 Jun 2025,4.05,4,4.05,4.05,3.32,
26 Jun 2025,4.05,4,4.05,4.05,3.32,
27 Jun 2025,4.11,4,4.11,4.11,3.32,
28 Jun 2025,4.15,4,4.15,4.15,3.32,
29 Jun 2025,4.14,4,4.14,4.14,3.34,
30 Jun 2025,4.14,4,4.14,4.14,3.34,
1 Jul 2025,4.15,4,4.15,4.15,3.34,
2 Jul 2025,4.15,4,4.15,4.15,3.34,
3 Jul 2025,4.15,4,4.15,4.15,3.34,
4 Jul 2025,4.15,4,4.15,4.15,3.34,
5 Jul 2025,4.15,4,4.15,4.15,3.34,
6 Jul 2025,4.15,4,4.15,4.15,3.34,
7 Jul 2025,4.11,4,4.11,4.11,3.34,
8 Jul 2025,4.12,4,4.12,4.12,3.34,
9 Jul 2025,4.12,4,4.12,4.12,3.34,
10 Jul 2025,4.12,4,4.12,4.12,3.34,
11 Jul 2025,4.12,4,4.12,4.12,3.34,
12 Jul 2025,4.12,4,4.12,4.12,3.34,
13 Jul 2025,4.12,4,4.12,4.12,3.34,
14 Jul 2025,4.12,4,4.12,4.12,3.34,
15 Jul 2025,4.12,4,4.12,4.12,3.34,
16 Jul 2025,4.12,4,4.12,4.12,3.34,
17 Jul 2025,4.12,4,4.12,4.12,3.34,
18 Jul 2025,4.14,4,4.14,4.14,3.34,
19 Jul 2025,4.14,4,4.14,4.14,3.34,
20 Jul 2025,4.14,4,4.14,4.14,3.34,
21 Jul 2025,4.22,4,4.22,4.22,3.34,
22 Jul 2025,4.22,4,4.22,4.22,3.34,
23 Jul 2025,4.22,4,4.22,4.22,3.34,
24 Jul 2025,4.15,4,4.15,4.15,3.34,
25 Jul 2025,4.18,4,4.18,4.18,3.34,
26 Jul 2025,4.18,4,4.18,4.18,3.34,
27 Jul 2025,4.22,4,4.22,4.22,3.34,
28 Jul 2025,4.22,4,4.22,4.22,3.34,
29 Jul 2025,4.22,4,4.22,4.22,3.34,
30 Jul 2025,4.22,4,4.22,4.22,3.34,
31 Jul 2025,4.22,4,4.22,4.22,3.34,
1 Aug 2025,4.22,4,4.22,4.22,3.34,
2 Aug 2025,4.21,4,4.21,4.21,3.34,
3 Aug 2025,4.22,4,4.22,4.22,3.34,
4 Aug 2025,4.22,4,4.22,4.22,3.34,
5 Aug 2025,4.23,4,4.23,4.23,3.34,
6 Aug 2025,4.23,4,4.23,4.23,3.34,
7 Aug 2025,4.23,4,4.23,4.23,3.34,
8 Aug 2025,4.23,4,4.23,4.23,3.34,
9 Aug 2025,4.2,4,4.2,4.2,3.34,
10 Aug 2025,4.2,4,4.2,4.2,3.34,
11 Aug 2025,4.2,4,4.2,4.2,3.34,
12 Aug 2025,4.2,4,4.2,4.2,3.34,
13 Aug 2025,4.24,4,4.24,4.24,3.34,
14 Aug 2025,4.34,4,4.34,4.34,3.34,
15 Aug 2025,4.34,4,4.34,4.34,3.34,
16 Aug 2025,4.34,4,4.34,4.34,3.34,
17 Aug 2025,4.3,4,4.3,4.3,3.34,
18 Aug 2025,4.3,4,4.3,4.3,3.34,
19 Aug 2025,4.31,4,4.31,4.31,3.34,
20 Aug 2025,4.31,4,4.31,4.31,3.34,
21 Aug 2025,4.29,4,4.29,4.29,3.34,
22 Aug 2025,4.28,4,4.28,4.28,3.34,
23 Aug 2025,4.3,4,4.27,4.27,3.34,
24 Aug 2025,4.31,4,4.3,4.3,3.34,
25 Aug 2025,4.3,4,4.27,4.27,3.34,
26 Aug 2025,4.3,4,4.27,4.27,3.34,
27 Aug 2025,4.27,4,4.27,4.27,3.34,
28 Aug 2025,4.27,4,4.26,4.26,3.34,
29 Aug 2025,4.26,4,4.24,4.24,3.34,
30 Aug 2025,4.26,4,4.27,4.27,3.34,
31 Aug 2025,4.26,4,4.27,4.27,3.34,
1 Sept 2025,4.22,4,4.22,4.22,3.34,
2 Sept 2025,4.22,4,4.22,4.22,3.34,
3 Sept 2025,4.19,4,4.18,4.18,3.34,
4 Sept 2025,4.16,4,4.15,4.15,3.34,
5 Sept 2025,4.16,4,4.15,4.15,3.34,
6 Sept 2025,4.16,4,4.15,4.15,3.34,
7 Sept 2025,4.15,4,4.14,4.14,3.34,
8 Sept 2025,4.15,4,4.14,4.14,3.34,
9 Sept 2025,4.16,4,4.15,4.15,3.34,
10 Sept 2025,4.16,4,4.15,4.15,3.34,
11 Sept 2025,4.16,4,4.15,4.15,3.34,
12 Sept 2025,4.16,4,4.15,4.15,3.34,
13 Sept 2025,4.16,4,4.15,4.15,3.34,
14 Sept 2025,4.18,4,4.16,4.16,3.34,
15 Sept 2025,4.19,4,4.18,4.18,3.34,
16 Sept 2025,4.18,4,4.16,4.16,3.34,
17 Sept 2025,4.18,4,4.16,4.16,3.34,
18 Sept 2025,4.18,4,4.16,4.16,3.34,
19 Sept 2025,4.15,4,4.14,4.14,3.27,
20 Sept 2025,4.18,4,4.15,4.15,3.27,
21 Sept 2025,4.19,4,4.16,4.16,3.27,
22 Sept 2025,4.16,4,4.15,4.15,3.27,
23 Sept 2025,4.16,4,4.15,4.15,3.27,
24 Sept 2025,4.16,4,4.15,4.15,3.27,
25 Sept 2025,4.19,4,4.19,4.19,3.27,
26 Sept 2025,4.19,4,4.19,4.19,3.27,
27 Sept 2025,4.14,4,4.14,4.14,3.27,
28 Sept 2025,4.14,4,4.14,4.14,3.27,
29 Sept 2025,4.15,4,4.14,4.14,3.27,
30 Sept 2025,4.14,4,4.15,4.15,3.27,
1 Oct 2025,4.12,4,4.11,4.11,3.27,
