Date,"Daily active users (DAU) (Unique users, Per interval, Daily): All countries / regions","Daily active users (DAU) (Unique users, Per interval, Daily): Egypt","Daily active users (DAU) (Unique users, Per interval, Daily): Côte d’Ivoire","Daily active users (DAU) (Unique users, Per interval, Daily): Senegal","Daily active users (DAU) (Unique users, Per interval, Daily): United Kingdom","Daily active users (DAU) (Unique users, Per interval, Daily): United States",Notes
21 Apr 2025,"2,190",-,-,-,-,-,Change in reporting data: Improved our engagement metrics to more accurately compensate for users who have opted out of data sharing.
22 Apr 2025,"2,009",505,242,93,4,64,
23 Apr 2025,"2,061",506,237,80,10,64,
24 Apr 2025,"2,083",538,240,83,7,45,
25 Apr 2025,"2,082",537,213,99,10,51,
26 Apr 2025,"2,023",532,233,73,5,52,
27 Apr 2025,"1,966",516,238,81,6,52,
28 Apr 2025,"1,959",474,228,93,6,42,
29 Apr 2025,"2,046",526,228,81,5,52,
30 Apr 2025,"1,967",506,213,84,6,52,
1 May 2025,"2,111",528,236,92,2,52,
2 May 2025,"2,008",546,200,94,1,47,
3 May 2025,"2,898",496,539,177,11,53,
4 May 2025,"3,014",494,608,198,11,75,
5 May 2025,"3,022",507,619,187,7,48,
6 May 2025,"2,809",488,562,165,14,55,
7 May 2025,"2,766",522,509,148,13,56,
8 May 2025,"2,798",552,521,145,8,76,
9 May 2025,"2,830",535,530,164,9,72,
10 May 2025,"2,885",539,518,189,11,69,
11 May 2025,"2,850",520,521,171,7,60,
12 May 2025,"2,932",512,535,184,14,74,
13 May 2025,"2,821",496,522,175,8,65,
14 May 2025,"2,695",494,508,177,10,49,Change in reporting data: Updated engagement metrics to include more user accounts.
15 May 2025,"2,780",505,497,185,10,57,
16 May 2025,"2,787",549,508,146,11,61,
17 May 2025,"2,614",497,452,153,11,76,
18 May 2025,"2,604",493,459,157,13,61,
19 May 2025,"2,657",556,461,144,12,78,
20 May 2025,"2,660",557,444,147,9,70,
21 May 2025,"2,557",547,413,154,7,66,
22 May 2025,"2,627",538,462,141,11,59,
23 May 2025,"2,659",561,451,136,9,70,
24 May 2025,"2,540",521,472,152,6,53,
25 May 2025,"2,645",511,537,147,4,69,
26 May 2025,"2,594",522,467,153,5,55,
27 May 2025,"2,588",511,456,142,11,68,
28 May 2025,"2,538",525,421,148,9,70,
29 May 2025,"2,512",499,432,139,7,71,
30 May 2025,"2,560",508,471,158,11,71,
31 May 2025,"2,489",447,455,135,16,70,
1 Jun 2025,"2,452",451,472,145,6,64,
2 Jun 2025,"2,489",462,444,153,10,67,
3 Jun 2025,"2,340",450,409,125,7,56,
4 Jun 2025,"2,415",454,421,141,7,55,
5 Jun 2025,"2,452",471,443,145,8,50,
6 Jun 2025,"2,139",407,408,110,1,45,
7 Jun 2025,"2,258",455,395,106,7,50,
8 Jun 2025,"2,234",455,420,116,3,40,
9 Jun 2025,"2,278",444,417,113,5,42,
10 Jun 2025,"2,165",449,368,123,9,49,
11 Jun 2025,"2,125",451,380,98,7,48,
12 Jun 2025,"2,178",466,365,128,6,43,
13 Jun 2025,"2,139",461,364,112,6,46,
14 Jun 2025,"2,215",454,397,138,7,35,
15 Jun 2025,"2,218",435,397,142,9,49,
16 Jun 2025,"2,238",453,379,131,11,49,
17 Jun 2025,"2,206",430,380,144,6,47,
18 Jun 2025,"2,156",432,368,135,5,48,
19 Jun 2025,"2,148",406,360,134,7,58,
20 Jun 2025,"2,148",437,360,131,3,63,
21 Jun 2025,"2,053",399,371,105,5,57,
22 Jun 2025,"2,000",415,350,112,2,48,
23 Jun 2025,"2,034",418,350,115,9,55,
24 Jun 2025,"2,008",417,326,115,5,51,
25 Jun 2025,"1,939",396,347,94,7,40,
26 Jun 2025,"1,947",424,302,104,6,48,
27 Jun 2025,"1,877",453,297,100,7,41,
28 Jun 2025,"1,840",431,292,94,9,44,
29 Jun 2025,"1,841",412,296,85,9,42,
30 Jun 2025,"1,744",405,298,87,7,39,
1 Jul 2025,"1,811",404,283,83,7,49,
2 Jul 2025,"1,758",365,288,80,5,45,
3 Jul 2025,"1,860",388,313,78,9,43,
4 Jul 2025,"1,705",358,296,74,12,49,
5 Jul 2025,"1,697",374,290,70,6,38,
6 Jul 2025,"1,598",336,256,66,8,34,
7 Jul 2025,"1,680",382,249,83,15,38,
8 Jul 2025,"1,717",421,252,78,10,45,
9 Jul 2025,"1,651",380,236,82,13,40,
10 Jul 2025,"1,618",377,256,62,13,47,
11 Jul 2025,"1,669",395,255,78,17,34,
12 Jul 2025,"1,690",404,253,69,10,44,
13 Jul 2025,"1,600",346,251,74,8,38,
14 Jul 2025,"1,557",388,224,73,10,33,
15 Jul 2025,"1,630",368,269,73,10,30,
16 Jul 2025,"1,644",392,221,88,8,34,
17 Jul 2025,"1,595",372,222,69,7,32,
18 Jul 2025,"1,631",424,236,61,3,25,
19 Jul 2025,"1,598",360,264,76,6,40,
20 Jul 2025,"1,603",395,220,72,11,43,
21 Jul 2025,"1,572",368,247,74,3,40,
22 Jul 2025,"1,519",371,208,58,3,36,
23 Jul 2025,"1,542",375,205,73,5,39,
24 Jul 2025,"1,489",356,215,51,7,24,
25 Jul 2025,"1,530",341,209,66,5,27,
26 Jul 2025,"1,529",355,202,64,9,28,
27 Jul 2025,"1,484",315,250,59,10,30,
28 Jul 2025,"1,503",307,227,77,13,36,
29 Jul 2025,"1,477",301,243,68,9,44,
30 Jul 2025,"1,480",313,259,69,13,32,
31 Jul 2025,"1,430",311,198,64,11,30,
1 Aug 2025,"1,442",305,229,74,10,30,
2 Aug 2025,"1,406",307,209,61,6,32,
3 Aug 2025,"1,530",297,231,83,3,27,
4 Aug 2025,"1,425",291,214,79,6,32,
5 Aug 2025,"1,423",281,244,77,5,35,
6 Aug 2025,"1,456",282,217,88,10,32,
7 Aug 2025,"1,544",312,244,82,6,40,
8 Aug 2025,"1,596",318,253,88,8,48,
9 Aug 2025,"1,477",274,244,82,6,39,
10 Aug 2025,"1,439",258,247,85,5,25,
11 Aug 2025,"1,486",301,226,89,7,29,
12 Aug 2025,"1,497",283,229,99,7,27,
13 Aug 2025,"1,552",291,272,91,8,24,
14 Aug 2025,"1,559",291,257,92,7,26,
15 Aug 2025,"1,493",295,238,101,9,26,
16 Aug 2025,"1,525",296,220,81,6,30,
17 Aug 2025,"1,500",276,255,85,9,33,
18 Aug 2025,"1,518",276,251,91,6,25,
19 Aug 2025,"1,575",304,254,110,8,39,
20 Aug 2025,"1,534",299,266,96,6,29,
21 Aug 2025,"1,579",278,272,88,11,29,
22 Aug 2025,"1,583",303,281,114,9,29,
23 Aug 2025,"1,541",304,268,107,5,22,
24 Aug 2025,"1,498",287,258,98,5,26,
25 Aug 2025,"1,604",303,298,107,3,29,
26 Aug 2025,"1,604",303,277,100,9,34,
27 Aug 2025,"1,637",294,287,89,8,42,
28 Aug 2025,"1,607",331,271,73,9,26,
29 Aug 2025,"1,562",298,283,74,6,27,
30 Aug 2025,"1,500",293,253,78,6,28,
31 Aug 2025,"1,540",303,260,74,10,33,
1 Sept 2025,"1,576",294,270,99,2,48,
2 Sept 2025,"1,594",281,253,92,11,34,
3 Sept 2025,"1,518",278,279,77,7,33,
4 Sept 2025,"1,538",314,233,86,4,29,
5 Sept 2025,"1,501",295,231,72,14,36,
6 Sept 2025,"1,544",299,251,76,6,27,
7 Sept 2025,"1,535",282,239,74,6,31,
8 Sept 2025,"1,476",290,252,69,9,36,
9 Sept 2025,"1,470",268,226,75,2,25,
10 Sept 2025,"1,523",286,264,66,10,28,
11 Sept 2025,"1,506",265,251,82,14,21,
12 Sept 2025,"1,617",320,263,86,10,32,
13 Sept 2025,"1,505",297,211,75,11,31,
14 Sept 2025,"1,533",306,235,76,13,28,
15 Sept 2025,"1,482",271,247,82,6,27,
16 Sept 2025,"1,447",291,222,70,12,30,
17 Sept 2025,"1,471",292,238,91,9,37,
18 Sept 2025,"1,466",303,222,95,1,31,
19 Sept 2025,"1,588",304,242,88,6,26,
20 Sept 2025,"1,511",293,220,75,6,31,
21 Sept 2025,"1,545",313,211,94,9,31,
22 Sept 2025,"1,432",280,187,88,4,47,
23 Sept 2025,"1,491",318,209,76,5,40,
24 Sept 2025,"1,458",278,202,96,8,27,
25 Sept 2025,"1,466",289,198,81,10,32,
26 Sept 2025,"1,564",324,215,86,8,27,
27 Sept 2025,"1,506",290,231,79,10,26,
28 Sept 2025,"1,479",274,219,75,4,40,
29 Sept 2025,"1,468",314,185,61,8,26,
30 Sept 2025,"1,476",306,190,76,9,35,
1 Oct 2025,"1,498",322,199,81,9,36,
